"patchX [cm]","patchY [cm]","Phi [deg]","Freq [GHz]","max(dB(GainTotal)) []"
0.6,1.91,0,10.75,6.50235547086832
0.6,1.91,0,11.5,6.72002883921155
0.6,1.91,0,13,6.6063318487664
0.6,1.91,0,16,1.78638537575734
0.6,1.91,0,16.75,1.90155801584973
0.6,1.91,0,17.5,1.82995573029826
0.6,1.91,0,19,1.90602132687855
0.6,1.91,0,20.5,1.17147194810127
0.6,1.91,0,22,3.34338302648167
0.6,1.91,0,25,7.1632133612578
0.7,0.5,0,1,-30.868387993844
0.7,0.5,0,2.5,-18.2039520159556
0.7,0.5,0,4,-9.51317645704911
0.7,0.5,0,7,3.4341821046552
0.7,0.5,0,10,5.52898091031278
0.7,0.5,0,11.5,5.83151422218668
0.7,0.5,0,13,5.4321152852133
0.7,0.5,0,16,4.70339942063928
0.7,0.5,0,17.5,3.97627563463681
0.7,0.5,0,19,3.68280005343032
0.7,0.5,0,20.5,1.7215120831358
0.7,0.5,0,21.25,0.770822472877109
0.7,0.5,0,22,0.354194004100832
0.7,0.5,0,23.5,0.450679022052357
0.7,0.5,0,25,4.02646468941405
0.7,0.6,0,1,-30.2521847755462
0.7,0.6,0,4,-8.94884403020677
0.7,0.6,0,5.5,0.141251525475639
0.7,0.6,0,7,3.59934851586665
0.7,0.6,0,8.5,4.81554296140209
0.7,0.6,0,10,5.60432180660883
0.7,0.6,0,13,5.16656073798346
0.7,0.6,0,14.5,5.53431921950273
0.7,0.6,0,16,3.14798622880714
0.7,0.6,0,19,1.17667387178558
0.7,0.6,0,20.5,1.09027576962803
0.7,0.6,0,21.25,0.347402583706272
0.7,0.6,0,22,1.10599109787384
0.7,0.6,0,23.5,1.56094621652552
0.7,0.6,0,24.25,3.54672787233828
0.7,0.6,0,25,2.62084066307936
0.7,0.7,0,1,-29.7459686464728
0.7,0.7,0,4,-8.55949912424016
0.7,0.7,0,5.5,0.381441167372976
0.7,0.7,0,7,3.69474840904083
0.7,0.7,0,10,5.671933233775
0.7,0.7,0,10.75,5.89166455144704
0.7,0.7,0,11.5,5.78391810291304
0.7,0.7,0,13,4.82952798734471
0.7,0.7,0,14.5,4.27067926183509
0.7,0.7,0,16,0.296024809643243
0.7,0.7,0,17.5,1.14094858032712
0.7,0.7,0,19,3.58716642365879
0.7,0.7,0,20.5,2.64738507843397
0.7,0.7,0,21.25,2.06486802493292
0.7,0.7,0,22,2.70794196854447
0.7,0.7,0,23.5,1.98229550800997
0.7,0.7,0,24.25,2.08469649130445
0.7,0.7,0,25,2.40262488943596
0.7,0.8,0,1,-29.2479195311845
0.7,0.8,0,4,-8.13541401425243
0.7,0.8,0,5.5,0.627984905001711
0.7,0.8,0,7,3.80263586928191
0.7,0.8,0,10,5.76481417251843
0.7,0.8,0,10.75,5.93085743362487
0.7,0.8,0,11.5,5.64188266934639
0.7,0.8,0,13,3.75431556925309
0.7,0.8,0,13.75,2.74017853646884
0.7,0.8,0,14.5,0.386995576606442
0.7,0.8,0,16,0.0983958890409704
0.7,0.8,0,19,5.20319347069628
0.7,0.8,0,22,3.50212541288166
0.7,0.8,0,25,3.54185641318511
0.7,0.9,0,1,-28.8145299622259
0.7,0.9,0,4,-7.80921938165686
0.7,0.9,0,5.5,0.800178387648183
0.7,0.9,0,7,3.89413743121423
0.7,0.9,0,8.5,5.06157518341346
0.7,0.9,0,10,5.87124236280788
0.7,0.9,0,11.5,5.36043099236579
0.7,0.9,0,13,1.60150530364444
0.7,0.9,0,14.5,-2.46959874464817
0.7,0.9,0,15.25,-0.464172330029252
0.7,0.9,0,16,3.32326084099302
0.7,0.9,0,17.5,6.02147708153234
0.7,0.9,0,19,5.86686691858171
0.7,0.9,0,22,4.17349372325736
0.7,0.9,0,23.5,4.46822172970803
0.7,0.9,0,25,3.88588929205817
0.7,1,0,1,-28.4258550438772
0.7,1,0,4,-7.51829402876511
0.7,1,0,5.5,0.933497176279603
0.7,1,0,7,3.94846494671867
0.7,1,0,10,5.93459459643476
0.7,1,0,11.5,4.46560751174994
0.7,1,0,13,-3.33683808100714
0.7,1,0,14.5,-0.568874387499552
0.7,1,0,16,5.56990489289058
0.7,1,0,17.5,6.74174252056985
0.7,1,0,19,5.88741228901703
0.7,1,0,20.5,2.5119462699427
0.7,1,0,22,4.09488877491889
0.7,1,0,23.5,4.0671159983431
0.7,1,0,24.25,4.11629758257887
0.7,1,0,25,3.12532433441912
0.7,1.1,0,1,-28.0545080695355
0.7,1.1,0,4,-7.24396981928589
0.7,1.1,0,5.5,1.05439951026742
0.7,1.1,0,7,3.9539044010112
0.7,1.1,0,10,5.87951755571761
0.7,1.1,0,11.5,1.95169579713882
0.7,1.1,0,13,-3.26347238310769
0.7,1.1,0,14.5,3.27042077372778
0.7,1.1,0,15.25,5.25652273156244
0.7,1.1,0,16,6.35010983241245
