"patchX [cm]","patchY [cm]","Freq [GHz]","dB(St11) []"
0.5,1,3.66666666666667,-0.188270656925331
0.5,1,3.90909090909091,-0.185100835223135
0.5,1,4.15151515151515,-0.183085812566767
0.5,1,4.39393939393939,-0.182714812229193
0.5,1,4.63636363636364,-0.184417847722382
0.5,1,4.87878787878788,-0.188563392340929
0.5,1,5.12121212121212,-0.195458142978303
0.5,1,5.36363636363636,-0.205348616869755
0.5,1,5.60606060606061,-0.218424495531168
0.5,1,5.84848484848485,-0.234823750056263
0.5,1,6.09090909090909,-0.25463966980954
0.5,1,6.33333333333333,-0.277929990346127
0.5,1,6.57575757575758,-0.304728390055319
0.5,1,6.81818181818182,-0.335058710298822
0.5,1,7.06060606060606,-0.368952361849613
0.5,1,7.3030303030303,-0.406469523409122
0.5,1,7.54545454545455,-0.447724930881484
0.5,1,7.78787878787879,-0.492919318947215
0.5,1,8.03030303030303,-0.542377937364756
0.5,1,8.27272727272727,-0.596598063592843
0.5,1,8.51515151515152,-0.656308129072093
0.5,1,8.75757575757576,-0.722542053264558
0.5,1,9,-0.796733758402023
0.5,1,9.24242424242424,-0.880838788205019
0.5,1,9.48484848484848,-0.977492699778139
0.5,1,9.72727272727273,-1.09021969871542
0.5,1,9.96969696969697,-1.22371002798228
0.5,1,10.2121212121212,-1.38419062937995
0.5,1,10.4545454545455,-1.57991866876489
0.5,1,10.6969696969697,-1.82182468006288
0.5,1,10.9393939393939,-2.12429943031677
0.5,1,11.1818181818182,-2.50599126911539
0.5,1,11.4242424242424,-2.99007285690235
0.5,1,11.6666666666667,-3.60223798414304
0.5,1,11.9090909090909,-4.36145854091615
0.5,1,12.1515151515152,-5.25142216113151
0.5,1,12.3939393939394,-6.1550919084547
0.5,1,12.6363636363636,-6.7843297851031
0.5,1,12.8787878787879,-6.81736526751151
0.5,1,13.1212121212121,-6.30051135289102
0.5,1,13.3636363636364,-5.63211780134719
0.5,1,13.6060606060606,-5.13770859240036
0.5,1,13.8484848484848,-4.93473157911562
0.5,1,14.0909090909091,-5.02167684351881
0.5,1,14.3333333333333,-5.35899176603555
0.5,1,14.5757575757576,-5.90367942715485
0.5,1,14.8181818181818,-6.61789554589386
0.5,1,15.0606060606061,-7.46671468056587
0.5,1,15.3030303030303,-8.41099076376405
0.5,1,15.5454545454545,-9.3967601454273
0.5,1,15.7878787878788,-10.3429086958208
0.5,1,16.030303030303,-11.1352593085481
0.5,1,16.2727272727273,-11.6457534238261
